C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.01,0.21,0.21,5,N,264
0.01,0.21,0.31000000000000005,1,N,265
0.01,0.21,0.31000000000000005,2,N,266
0.01,0.21,0.31000000000000005,3,N,267
0.01,0.21,0.31000000000000005,4,N,268
0.01,0.21,0.31000000000000005,5,N,269
0.01,0.21,0.41,1,N,270
0.01,0.21,0.41,2,N,271
0.01,0.21,0.41,3,N,272
0.01,0.21,0.41,4,N,273
0.01,0.21,0.41,5,N,274
0.01,0.21,0.51,1,N,275
0.01,0.21,0.51,2,N,276
0.01,0.21,0.51,3,N,277
0.01,0.21,0.51,4,N,278
0.01,0.21,0.51,5,N,279
0.01,0.21,0.6100000000000001,1,N,280
0.01,0.21,0.6100000000000001,2,N,281
0.01,0.21,0.6100000000000001,3,N,282
0.01,0.21,0.6100000000000001,4,N,283
0.01,0.21,0.6100000000000001,5,N,284
0.01,0.21,0.7100000000000001,1,N,285
0.01,0.21,0.7100000000000001,2,N,286
0.01,0.21,0.7100000000000001,3,N,287
0.01,0.21,0.7100000000000001,4,N,288
0.01,0.21,0.7100000000000001,5,N,289
0.01,0.21,0.81,1,N,290
0.01,0.21,0.81,2,N,291
0.01,0.21,0.81,3,N,292
0.01,0.21,0.81,4,N,293
0.01,0.21,0.81,5,N,294
0.01,0.21,0.91,1,N,295
0.01,0.21,0.91,2,N,296
0.01,0.21,0.91,3,N,297
0.01,0.21,0.91,4,N,298
0.01,0.21,0.91,5,N,299
0.01,0.21,1.01,1,N,300
0.01,0.21,1.01,2,N,301
0.01,0.21,1.01,3,N,302
0.01,0.21,1.01,4,N,303
0.01,0.21,1.01,5,N,304
0.01,0.21,1.11,1,N,305
0.01,0.21,1.11,2,N,306
0.01,0.21,1.11,3,N,307
0.01,0.21,1.11,4,N,308
0.01,0.21,1.11,5,N,309
0.01,0.21,1.3,1,N,310
0.01,0.21,1.3,2,N,311
0.01,0.21,1.3,3,N,312
0.01,0.21,1.3,4,N,313
0.01,0.21,1.3,5,N,314
0.01,0.21,1.6,1,N,315
0.01,0.21,1.6,2,N,316
0.01,0.21,1.6,3,N,317
0.01,0.21,1.6,4,N,318
0.01,0.21,1.6,5,N,319
0.01,0.21,1.9,1,N,320
0.01,0.21,1.9,2,N,321
0.01,0.21,1.9,3,N,322
0.01,0.21,1.9,4,N,323
0.01,0.21,1.9,5,N,324
0.01,0.21,2.2,1,N,325
0.01,0.21,2.2,2,N,326
0.01,0.21,2.2,3,N,327
0.01,0.21,2.2,4,N,328
0.01,0.21,2.2,5,N,329
0.01,0.21,2.5,1,N,330
0.01,0.21,2.5,2,N,331
0.01,0.21,2.5,3,N,332
0.01,0.21,2.5,4,N,333
0.01,0.21,2.5,5,N,334
0.01,0.21,2.8000000000000003,1,N,335
0.01,0.21,2.8000000000000003,2,N,336
0.01,0.21,2.8000000000000003,3,N,337
0.01,0.21,2.8000000000000003,4,N,338
0.01,0.21,2.8000000000000003,5,N,339
0.01,0.21,3.1000000000000005,1,N,340
0.01,0.21,3.1000000000000005,2,N,341
0.01,0.21,3.1000000000000005,3,N,342
0.01,0.21,3.1000000000000005,4,N,343
0.01,0.21,3.1000000000000005,5,N,344
0.01,0.21,3.4000000000000004,1,N,345
0.01,0.21,3.4000000000000004,2,N,346
0.01,0.21,3.4000000000000004,3,N,347
0.01,0.21,3.4000000000000004,4,N,348
0.01,0.21,3.4000000000000004,5,N,349
0.01,0.21,3.7,1,N,350
0.01,0.21,3.7,2,N,351
0.01,0.21,3.7,3,N,352
0.01,0.21,3.7,4,N,353
0.01,0.21,3.7,5,N,354
0.01,0.21,4.0,1,N,355
0.01,0.21,4.0,2,N,356
0.01,0.21,4.0,3,N,357
0.01,0.21,4.0,4,N,358
0.01,0.21,4.0,5,N,359
0.01,0.21,4.300000000000002,1,N,360
0.01,0.21,4.300000000000002,2,N,361
0.01,0.21,4.300000000000002,3,N,362
0.01,0.21,4.300000000000002,4,N,363
0.01,0.21,4.300000000000002,5,N,364
0.01,0.21,4.6000000000000005,1,N,365
0.01,0.21,4.6000000000000005,2,N,366
0.01,0.21,4.6000000000000005,3,N,367
0.01,0.21,4.6000000000000005,4,N,368
0.01,0.21,4.6000000000000005,5,N,369
0.01,0.21,4.9,1,N,370
0.01,0.21,4.9,2,N,371
0.01,0.21,4.9,3,N,372
0.01,0.21,4.9,4,N,373
0.01,0.21,4.9,5,N,374
0.01,0.31000000000000005,0.01,1,N,375
0.01,0.31000000000000005,0.01,2,N,376
0.01,0.31000000000000005,0.01,3,N,377
0.01,0.31000000000000005,0.01,4,N,378
0.01,0.31000000000000005,0.01,5,N,379
0.01,0.31000000000000005,0.11,1,N,380
0.01,0.31000000000000005,0.11,2,N,381
0.01,0.31000000000000005,0.11,3,N,382
0.01,0.31000000000000005,0.11,4,N,383
0.01,0.31000000000000005,0.11,5,N,384
0.01,0.31000000000000005,0.21,1,N,385
0.01,0.31000000000000005,0.21,2,N,386
0.01,0.31000000000000005,0.21,3,N,387
0.01,0.31000000000000005,0.21,4,N,388
0.01,0.31000000000000005,0.21,5,N,389
